id,contrat,titre,texte,notice,page
axa_essenciel_2025-06_formule_03,Essen'Ciel (assurance obsèques),Valeur de rachat,"valeur_de_rachat · VR(t) = provision mathématique(t) − pénalité éventuelle ; PM = engagement futur de l'assureur − engagement futur de l'assuré (calcul actuariel non reproduit dans la notice ; seuls les tableaux d'exemples chiffrés sont contractuels) · justification : Définition donnée mais paramètres actuariels (tables, taux) non publiés : seuls les minima des tableaux sont garantis.",2025-06 Notice d'information Essen'Ciel.pdf,35
axa_excelium_vie_2026-05_formule_01,Excelium (assurance vie),Valeur de rachat minimale support euros,"valeur_de_rachat · VR(n) = versement_net_initial × (1 − 0,008)^n · justification : Formule écrite en toutes lettres p.47 et vérifiée sur le tableau (2 500 → 2 480 → … → 2 307).",2026-05 Notice Excelium Vie.pdf,46
axa_excelium_vie_2026-05_formule_02,Excelium (assurance vie),Nombre d'UC/parts après frais,"valeur_de_rachat · N(n) = N0 × (1 − taux_mensuel)^(12n), avec taux_mensuel = 0,0669 % (Croissance), 0,0804 % (UC standard), 0,1014 % (UC pilotée), 0,1259 % (AXA Immo Avenir) · justification : Exemples de calcul explicites p.47 (99,200 = 100 × (1−0,0669 %)^12, etc.).",2026-05 Notice Excelium Vie.pdf,47
axa_excelium_vie_2026-05_formule_03,Excelium (assurance vie),Prime mensuelle garantie Revalorisée,"cotisation · prime = capital_sous_risque_fin_de_mois × tarif_mensuel(âge) · justification : Formule contractuelle explicite (p.17 et p.48) + exemples chiffrés vérifiés (250 € × 0,0142 % = 0,0355 ≈ 0,04 €).",2026-05 Notice Excelium Vie.pdf,17
axa_excelium_vie_2026-05_formule_04,Excelium (assurance vie),Montant garanti Revalorisée,"autre · MG = Σ versements_nets × Π(1 + taux_mensuel_LivretA) sur la période [mois suivant l'encaissement ; mois précédant le décès] − minorations proportionnelles aux rachats · justification : Description littérale §4.2.2 ; le mode exact de composition mensuelle du taux Livret A n'est pas formalisé en équation dans la notice.",2026-05 Notice Excelium Vie.pdf,16
axa_ma_protection_accident_2024-03_formule_01,Ma Protection Accident (Garantie des accidents de la vie),Indice AQV,"autre · AQV = arrondi_supérieur(DFP + PEP + SE) ; indemnité = tableau[AQV][tranche d'âge à la consolidation] · justification : Formule explicitement décrite p.7 (« par addition ») avec exemple chiffré p.9 vérifié contre le tableau.",2024-03 CG Ma Protection Accident (AGA-AEP).pdf,8
axa_ma_protection_accident_2024-03_formule_02,Ma Protection Accident (Garantie des accidents de la vie),Renonciation vente à distance — cotisation due,cotisation · montant_dû = cotisation_annuelle × nombre_de_jours_garantis / 365 · justification : Règle de calcul écrite en toutes lettres p.19.,2024-03 CG Ma Protection Accident (AGA-AEP).pdf,19
axa_ma_retraite_2026-05_formule_01,Ma Retraite (plan d'épargne retraite individuel — PER),Valeur de transfert en parts/UC,"autre · N(1) = N0 × (1 − taux_mensuel)^12 × (1 − 1 % si transfert < 5 ans) ; taux_mensuel = 0,0669 % (Croissance), 0,0804 % (UC), 0,1259 % (AXA Immo Avenir) · justification : Exemples de calcul écrits en toutes lettres p.28-29 (98,208 = 100 × (1−0,0669 %)^12 × (1−1 %)).",2026-05 Notice Ma Retraite.pdf,28
axa_ma_retraite_2026-05_formule_02,Ma Retraite (plan d'épargne retraite individuel — PER),Rente initiale,"autre · rente_annuelle = Σ_versements [épargne_relative_au_versement × coefficient(année_retraite, âge ; table en vigueur à la date du versement)] ; frais 1 % par arrérage déjà intégrés aux coefficients · justification : Mécanique Protection Retraite (5.1.3) + annexe 13 ; la composition exacte multi-versements/multi-tables est décrite textuellement (« la proportion de l'épargne constituée relative audit versement »).",2026-05 Notice Ma Retraite.pdf,48
axa_masterlife_credit_2024-10_formule_01,Masterlife CREDIT,IJ incapacité (plafond),"autre · IJ_max = échéance_du_prêt / N × quotité, avec N = 30 (mensuel), 90 (trimestriel), 180 (semestriel), 365 (annuel) ; prêt in fine : IJ = intérêts_annuels/365 · justification : Règles écrites en toutes lettres à l'article 4.1.a.",Notice-Masterlife-Credit-202410.pdf,12
axa_masterlife_credit_2024-10_formule_02,Masterlife CREDIT,IJ invalidité partielle,"autre · IJ = IJ_max × n_indemnisation(taux_croisé)/100, pour 33 ≤ taux < 66 ; 100 % si ≥ 66 ; 0 si < 33 · justification : Article 4.2.a + tableaux contractuels.",Notice-Masterlife-Credit-202410.pdf,15
axa_masterlife_credit_2024-10_formule_03,Masterlife CREDIT,Exonération incapacité,"cotisation · remboursement = cotisation_annuelle/365 × max(0, jours_incapacité − 90) · justification : « 1/365e par journée d'incapacité » avec « déduction d'une franchise de 90 jours » — l'application exacte de la franchise (en jours déduits) est l'interprétation la plus directe du texte.",Notice-Masterlife-Credit-202410.pdf,16
