id,contrat,titre,texte,notice,page
avizen-pro:fait:45763a5331:declencheur:0,Avizen Pro,Rente invalidité permanente partielle ou totale (optionnelle),consolidation pendant la garantie,2025-04 Notice d'information Avizen Pro (AEP).pdf,17
avizen-pro:fait:45763a5331:declencheur:1,Avizen Pro,Rente invalidité permanente partielle ou totale (optionnelle),activité professionnelle au fait générateur,2025-04 Notice d'information Avizen Pro (AEP).pdf,17
avizen-pro:fait:45763a5331:declencheur:2,Avizen Pro,Rente invalidité permanente partielle ou totale (optionnelle),taux ≥ 11 % accident / 33 % maladie (ou 15 % maladie en option),2025-04 Notice d'information Avizen Pro (AEP).pdf,17
avizen-pro:fait:f8c491157d:declencheur:0,Avizen Pro,Capital invalidité permanente partielle ou totale (optionnelle),taux ≥ 11 % accident / 33 % maladie (15 % en option),2025-04 Notice d'information Avizen Pro (AEP).pdf,21
avizen-pro:fait:0ec85aa140:declencheur:0,Avizen Pro,Rente invalidité par accident (optionnelle),taux fonctionnel ≥ 11 %,2025-04 Notice d'information Avizen Pro (AEP).pdf,23
avizen-pro:fait:300c94bbd6:declencheur:0,Avizen Pro,Capital invalidité par accident (optionnelle),taux fonctionnel ≥ 11 %,2025-04 Notice d'information Avizen Pro (AEP).pdf,24
avizen-pro:fait:e381236ba4:declencheur:0,Avizen Pro,Garantie aide à la famille,"garantie IJ (ITT TC, accident ou complémentaires) ET rente éducation",2025-04 Notice d'information Avizen Pro (AEP).pdf,25
avizen-pro:fait:e381236ba4:declencheur:1,Avizen Pro,Garantie aide à la famille,AJPP perçue,2025-04 Notice d'information Avizen Pro (AEP).pdf,25
entour-age:fait:52eb8f16a6:declencheur:0,Entour'Age,Rente viagère dépendance (garantie principale obligatoire),reconnaissance de l'état de dépendance par le Médecin Conseil d'AXA,2025-06 Notice d'Information Entour'Age.pdf,21
entour-age:fait:52eb8f16a6:declencheur:1,Entour'Age,Rente viagère dépendance (garantie principale obligatoire),expiration du délai d'attente (sauf origine accidentelle),2025-06 Notice d'Information Entour'Age.pdf,21
entour-age:fait:52eb8f16a6:declencheur:2,Entour'Age,Rente viagère dépendance (garantie principale obligatoire),franchise absolue de 3 mois,2025-06 Notice d'Information Entour'Age.pdf,21
entour-age:fait:2a25013e7a:declencheur:0,Entour'Age,Services dès l'adhésion « ENTREAIDANTS »,dès la prise d'effet de l'adhésion,2025-06 Notice d'Information Entour'Age.pdf,16
entour-age:fait:2094e3a95e:declencheur:0,Entour'Age,Services d'assistance dédiés en perte d'autonomie,état de dépendance reconnu,2025-06 Notice d'Information Entour'Age.pdf,23
entour-age:fait:dcbc36cf9a:declencheur:0,Entour'Age,Services pour l'aidant de l'assuré,"selon prestation : dépendance de l'assuré reconnue, ou rôle d'aidant",2025-06 Notice d'Information Entour'Age.pdf,25
excelium-assurance-vie:fait:4475e2a358:declencheur:0,Excelium (assurance vie),Garantie en cas de vie (au terme),vie de l'assuré au terme,2026-05 Notice Excelium Vie.pdf,15
excelium-assurance-vie:fait:4475e2a358:declencheur:1,Excelium (assurance vie),Garantie en cas de vie (au terme),demande de l'adhérent,2026-05 Notice Excelium Vie.pdf,15
excelium-assurance-vie:fait:48e4ad06df:declencheur:0,Excelium (assurance vie),Garantie en cas de décès,décès de l'assuré avant le terme,2026-05 Notice Excelium Vie.pdf,15
excelium-assurance-vie:fait:62d6fd5c2d:declencheur:0,Excelium (assurance vie),"Garantie « Sérénité » (plancher, incluse)",incluse automatiquement,2026-05 Notice Excelium Vie.pdf,15
excelium-assurance-vie:fait:0b27383ed4:declencheur:0,Excelium (assurance vie),Garantie « Revalorisée »,convention Fortissimo sans fonds Croissance,2026-05 Notice Excelium Vie.pdf,16
excelium-assurance-vie:fait:0b27383ed4:declencheur:1,Excelium (assurance vie),Garantie « Revalorisée »,< 70 ans à l'adhésion,2026-05 Notice Excelium Vie.pdf,16
ma-protection-accident-garantie-des-accidents-de-la-vie:fait:55a0c9a7a3:declencheur:0,Ma Protection Accident (Garantie des accidents de la vie),Accidents corporels d'activités courantes,pendant la période d'effet des garanties,2024-03 CG Ma Protection Accident (AGA-AEP).pdf,4
ma-protection-accident-garantie-des-accidents-de-la-vie:fait:55a0c9a7a3:declencheur:1,Ma Protection Accident (Garantie des accidents de la vie),Accidents corporels d'activités courantes,conditions de territorialité (art. 1.4),2024-03 CG Ma Protection Accident (AGA-AEP).pdf,4
ma-protection-accident-garantie-des-accidents-de-la-vie:fait:55a0c9a7a3:declencheur:2,Ma Protection Accident (Garantie des accidents de la vie),Accidents corporels d'activités courantes,hors exclusions (art. 2),2024-03 CG Ma Protection Accident (AGA-AEP).pdf,4
ma-protection-accident-garantie-des-accidents-de-la-vie:fait:b8adb5c5cb:declencheur:0,Ma Protection Accident (Garantie des accidents de la vie),Accidents corporels lors d'événements exceptionnels,pendant la période d'effet des garanties,2024-03 CG Ma Protection Accident (AGA-AEP).pdf,4
ma-protection-accident-garantie-des-accidents-de-la-vie:fait:efc65e79f2:declencheur:0,Ma Protection Accident (Garantie des accidents de la vie),Accidents médicaux et infections nosocomiales,fait générateur postérieur à la prise d'effet,2024-03 CG Ma Protection Accident (AGA-AEP).pdf,4
ma-protection-accident-garantie-des-accidents-de-la-vie:fait:efc65e79f2:declencheur:1,Ma Protection Accident (Garantie des accidents de la vie),Accidents médicaux et infections nosocomiales,condition d'anormalité remplie,2024-03 CG Ma Protection Accident (AGA-AEP).pdf,4
ma-protection-accident-garantie-des-accidents-de-la-vie:fait:efc65e79f2:declencheur:2,Ma Protection Accident (Garantie des accidents de la vie),Accidents médicaux et infections nosocomiales,dommages EN DESSOUS des critères de gravité ouvrant droit à indemnisation par l'ONIAM,2024-03 CG Ma Protection Accident (AGA-AEP).pdf,4
ma-protection-accident-garantie-des-accidents-de-la-vie:fait:9347c06b89:declencheur:0,Ma Protection Accident (Garantie des accidents de la vie),Indemnisation des préjudices corporels (barème AQV),DFP imputable à l'accident ≥ 1 %,2024-03 CG Ma Protection Accident (AGA-AEP).pdf,7
ma-protection-accident-garantie-des-accidents-de-la-vie:fait:4c55c61a58:declencheur:0,Ma Protection Accident (Garantie des accidents de la vie),Préjudices indemnisés selon droit commun,accident garanti avec DFP ≥ 1 %,2024-03 CG Ma Protection Accident (AGA-AEP).pdf,9
ma-protection-accident-garantie-des-accidents-de-la-vie:fait:2bd15a813d:declencheur:0,Ma Protection Accident (Garantie des accidents de la vie),En cas de décès,décès exclusivement lié à l'accident garanti,2024-03 CG Ma Protection Accident (AGA-AEP).pdf,9
ma-retraite-plan-d-epargne-retraite-individuel-per:fait:5373d2e9a3:declencheur:0,Ma Retraite (plan d'épargne retraite individuel — PER),En cas de vie - sortie en capital,échéance + âge légal ou liquidation effective,2026-05 Notice Ma Retraite.pdf,10
ma-retraite-plan-d-epargne-retraite-individuel-per:fait:01f933f2f8:declencheur:0,Ma Retraite (plan d'épargne retraite individuel — PER),En cas de vie - sortie en rente viagère,échéance + âge légal ou liquidation effective,2026-05 Notice Ma Retraite.pdf,10
ma-retraite-plan-d-epargne-retraite-individuel-per:fait:2aa29d9978:declencheur:0,Ma Retraite (plan d'épargne retraite individuel — PER),En cas de décès avant liquidation totale,décès de l'assuré avant liquidation totale,2026-05 Notice Ma Retraite.pdf,12
ma-retraite-plan-d-epargne-retraite-individuel-per:fait:75fb2b014a:declencheur:0,Ma Retraite (plan d'épargne retraite individuel — PER),"Garantie « Sérénité » (plancher décès, incluse)",incluse automatiquement,2026-05 Notice Ma Retraite.pdf,13
ma-retraite-plan-d-epargne-retraite-individuel-per:fait:75fb2b014a:declencheur:1,Ma Retraite (plan d'épargne retraite individuel — PER),"Garantie « Sérénité » (plancher décès, incluse)",décès avant le 80e anniversaire,2026-05 Notice Ma Retraite.pdf,13
masterlife-credit:fait:d958e52a0c:declencheur:0,Masterlife CREDIT,Décès,décès avant le 85e anniversaire (âge limite de la garantie),Notice-Masterlife-Credit-202410.pdf,12
masterlife-credit:fait:a1b706a42f:declencheur:0,Masterlife CREDIT,PTIA,consolidation avant 70 ans,Notice-Masterlife-Credit-202410.pdf,12
masterlife-credit:fait:a1b706a42f:declencheur:1,Masterlife CREDIT,PTIA,critères PTIA (définition),Notice-Masterlife-Credit-202410.pdf,12
masterlife-credit:fait:fbdb2c83d4:declencheur:0,Masterlife CREDIT,Incapacité de travail (IJ),couplage avec décès ou PTIA,Notice-Masterlife-Credit-202410.pdf,13
masterlife-credit:fait:fbdb2c83d4:declencheur:1,Masterlife CREDIT,Incapacité de travail (IJ),arrêt avant 70 ans,Notice-Masterlife-Credit-202410.pdf,13
masterlife-credit:fait:de1ea1338f:declencheur:0,Masterlife CREDIT,Invalidité totale ou partielle,consolidation avant la retraite et avant 70 ans,Notice-Masterlife-Credit-202410.pdf,14
masterlife-credit:fait:de1ea1338f:declencheur:1,Masterlife CREDIT,Invalidité totale ou partielle,taux ≥ 33 %,Notice-Masterlife-Credit-202410.pdf,14
masterlife-credit:fait:48d0f52caf:declencheur:0,Masterlife CREDIT,Invalidité spécifique AERAS (GIS),mention aux conditions particulières,Notice-Masterlife-Credit-202410.pdf,16
masterlife-credit:fait:48d0f52caf:declencheur:1,Masterlife CREDIT,Invalidité spécifique AERAS (GIS),incapacité professionnelle totale + fonctionnelle ≥ 70 %,Notice-Masterlife-Credit-202410.pdf,16
masterlife-credit:fait:ba0803b83f:declencheur:0,Masterlife CREDIT,Garantie Aide à la famille,garantie incapacité souscrite,Notice-Masterlife-Credit-202410.pdf,14
masterlife-credit:fait:ba0803b83f:declencheur:1,Masterlife CREDIT,Garantie Aide à la famille,AJPP,Notice-Masterlife-Credit-202410.pdf,14
masterlife-credit:fait:ba0803b83f:declencheur:2,Masterlife CREDIT,Garantie Aide à la famille,prêt immobilier ou professionnel,Notice-Masterlife-Credit-202410.pdf,14
masterlife-credit:fait:46a66d4346:declencheur:0,Masterlife CREDIT,Exonération du paiement des cotisations,"selon le cas : versement d'IJ incapacité, AJPP, ou invalidité totale/GIS",Notice-Masterlife-Credit-202410.pdf,17
